# tag	source	path	spans  (draft = r5 초벌 1절 표 인용, review = r5 리뷰 1.1/1.2/3.1/3.2 인용; 점 인용은 감싸는 fn 전체로 확장)
M18	review	src/services/discord/inflight.rs	fn:clear_inflight_by_tmux_name
M18	review	src/services/turn_lifecycle.rs	fn:clear_inflight_by_tmux_name
M18	review	src/services/discord/turn_finalizer/finalize.rs	144
M18	review	src/services/discord/recovery_paths/restart.rs	116,792
M18	review	src/engine/ops/exec_ops.rs	303
M19	review	src/services/discord/inflight_heartbeat_sweeper.rs	151,230
R11	review	src/services/discord/tmux.rs	256
R11	review	src/services/discord/recovery_engine/restore_inflight.rs	812-817,1753,1901,1907
R11	review	src/services/discord/recovery_engine/terminal_text_idempotency.rs	686-694,749-794
R11	review	src/services/discord/standby_relay.rs	227-251,854-881,888-899,988-990
R11	review	src/services/discord/tmux_watcher/liveness.rs	469-477
R11	review	src/services/discord/watchers/lifecycle/restore.rs	514-518
R11	review	src/services/claude.rs	2100-2103,2513
R11	review	src/services/tmux_common.rs	1219-1257
R11	review	src/services/discord/tmux_placeholder_suppression/ops.rs	478
R11	review	src/services/discord/tmux_watcher.rs	1843-1848
R31	review	src/services/tmux_common.rs	1471,1924-1971
R31	review	src/services/discord/tmux_session_files.rs	258,340-343,823-925
R31	review	src/services/discord/watchers/lifecycle/restore.rs	860
R31	review	src/services/claude/tui_session_launch.rs	20
R31	review	src/services/claude.rs	1752,1807
R31	review	src/services/turn_lifecycle.rs	312
R31	review	src/services/discord/commands/control.rs	145,169
R31	review	src/services/discord/router/message_handler/provider_isolation.rs	473
R31	review	src/services/discord/tmux_reaper.rs	403,740
R31	review	src/services/discord/idle_recap_interaction.rs	561,571
R32	review	src/services/discord/inflight/clear_store/mod.rs	40-50,274
R32	review	src/services/turn_lifecycle.rs	328-333
R32	review	src/services/discord/health/recovery.rs	328,374,442
R32	review	src/services/discord/tmux_restart_handoff.rs	370
R32	review	src/services/discord/recovery_paths/restart.rs	116,792
R32	review	src/services/discord/turn_finalizer/finalize.rs	144
R32	review	src/services/discord/mod.rs	516
R32	review	src/services/discord/inflight.rs	342-352
R32	review	src/services/discord/router/intake_gate/stale_turn.rs	194,253
R32	review	src/services/discord/turn_bridge/completion_postlude.rs	920
R32	review	src/services/discord/inflight/removal.rs	263-375
R32	review	src/services/discord/tui_direct_pending_start.rs	370
