tag	source	path	spans	hits	tag_rows_in_file
S18	draft	src/services/discord/inflight/removal.rs	616-730	2	2
S18	draft	src/services/discord/inflight/clear_store/mod.rs	40-50,365-435,690-743	6	6
S19	draft	src/services/discord/tmux_watcher/utf8_chunk_decoder.rs	12-112	0	0
S19	draft	src/services/tmux_common.rs	15-110	0	0
S19	draft	src/services/claude/tui_session_launch.rs	20-42	1	3
S20	draft	src/services/discord/runtime_bootstrap/spawns.rs	218-323	1	1
S20	draft	src/services/discord/runtime_bootstrap/deferred_restart.rs	72-84,142-161,209-225	0	0
S20	draft	src/services/discord/task_supervisor/watcher_completion.rs	27-46	0	0
S20	draft	scripts/deploy-release.sh	2847-2891	0	0
M1	review	src/services/discord/tmux_watcher/liveness.rs	172	0	0
M1	review	src/services/discord/tmux_restart_handoff.rs	276,289,370,462	2	5
M2	review	src/services/discord/turn_bridge/stream_tick.rs	910-929	2	32
M2	review	src/services/discord/turn_bridge/retry_state.rs	99-110	0	0
M3	review	src/services/discord/turn_bridge/terminal_outcome_delivery/delivery_epilogue.rs	93-101	1	8
M3	review	src/services/discord/turn_bridge/bridge_entry_persist.rs	294	0	3
M4	review	src/services/discord/turn_bridge/retry_state.rs	203	0	5
M5	review	src/services/discord/turn_bridge/terminal_outcome_delivery/cancel_prompt_replace.rs	222,322	2	10
M5	review	src/services/discord/turn_bridge/terminal_outcome_delivery.rs	211,254	1	30
M6	review	src/services/discord/turn_bridge/terminal_outcome_delivery/recovery_retry.rs	88	1	2
M6	review	src/services/discord/turn_bridge/single_message_footer.rs	163	1	4
M6	review	src/services/discord/turn_bridge/status_panel.rs	462	1	1
M6	review	src/services/discord/turn_bridge/current_message_anchor.rs	44,88	1	6
M6	review	src/services/discord/turn_bridge/watcher_orphan_cleanup.rs	141,204	2	3
M7	review	src/services/discord/tui_prompt_relay/claude_idle_runtime.rs	184-206	1	3
M7	review	src/services/discord/recovery_engine/idle_captured_response.rs	36,62,65	0	3
M7	review	src/services/discord/tui_prompt_relay/synthetic_start/bridge_handoff.rs	516	0	0
M8	review	src/services/discord/health/recovery.rs	2134,2335,2361,2450,2537	4	5
M9	review	src/services/discord/health/relay_auto_heal.rs	791	1	1
M10	review	src/services/discord/health.rs	fn:rebind_inflight_after_force_clean	1	1
M11	review	src/services/discord/inflight/orphan_relay_reclaim.rs	190-262	1	1
M12	review	src/services/discord/placeholder_sweeper.rs	441-457	0	9
M12	review	src/services/discord/placeholder_sweeper/abandon_guard.rs	288-305	2	2
M13	review	src/services/discord/status_panel_orphan_store.rs	790	1	3
M14	review	src/services/discord/startup_reclaim.rs	258,333	2	2
M15	review	src/services/discord/tmux.rs	1350-1376	2	2
M15	review	src/services/discord/tmux_watcher.rs	2446	1	71
M16	review	src/services/discord/outbound/delivery_record.rs	1605-1633	0	0
M16	review	src/services/discord/tui_prompt_relay/claude_idle_runtime.rs	245-341	2	3
M16	review	src/services/discord/recovery_engine/terminal_watcher.rs	124-139	0	0
M17	review	src/services/discord/tui_prompt_relay/session_rotation_settle.rs	257-270,330-380	2	9
M18	review	src/services/discord/health/recovery.rs	374,442	2	4
M18	review	src/services/discord/router/intake_gate/stale_turn.rs	194,253	2	2
M18	review	src/services/discord/inflight.rs	fn:clear_inflight_by_tmux_name	1	1
M18	review	src/services/turn_lifecycle.rs	fn:clear_inflight_by_tmux_name	1	1
M18	review	src/services/discord/turn_finalizer/finalize.rs	144	1	7
M18	review	src/services/discord/recovery_paths/restart.rs	116,792	2	6
M18	review	src/engine/ops/exec_ops.rs	303	1	1
M19	review	src/services/discord/inflight_heartbeat_sweeper.rs	151,230	1	2
R11	review	src/services/discord/tmux.rs	256	0	2
R11	review	src/services/discord/recovery_engine/restore_inflight.rs	812-817,1753,1901,1907	2	59
R11	review	src/services/discord/recovery_engine/terminal_text_idempotency.rs	686-694,749-794	8	9
R11	review	src/services/discord/standby_relay.rs	227-251,854-881,888-899,988-990	9	13
R11	review	src/services/discord/tmux_watcher/liveness.rs	469-477	0	0
R11	review	src/services/discord/watchers/lifecycle/restore.rs	514-518	0	10
R11	review	src/services/claude.rs	2100-2103,2513	0	11
R11	review	src/services/tmux_common.rs	1219-1257	5	5
R11	review	src/services/discord/tmux_placeholder_suppression/ops.rs	478	1	1
R11	review	src/services/discord/tmux_watcher.rs	1843-1848	1	71
R31	review	src/services/tmux_common.rs	1471,1924-1971	0	2
R31	review	src/services/discord/tmux_session_files.rs	258,340-343,823-925	3	6
R31	review	src/services/discord/watchers/lifecycle/restore.rs	860	1	10
R31	review	src/services/claude/tui_session_launch.rs	20	1	3
R31	review	src/services/claude.rs	1752,1807	1	2
R31	review	src/services/turn_lifecycle.rs	312	1	4
R31	review	src/services/discord/commands/control.rs	145,169	2	2
R31	review	src/services/discord/router/message_handler/provider_isolation.rs	473	1	1
R31	review	src/services/discord/tmux_reaper.rs	403,740	2	2
R31	review	src/services/discord/idle_recap_interaction.rs	561,571	0	0
R32	review	src/services/discord/inflight/clear_store/mod.rs	40-50,274	2	2
R32	review	src/services/turn_lifecycle.rs	328-333	2	4
R32	review	src/services/discord/health/recovery.rs	328,374,442	3	5
R32	review	src/services/discord/tmux_restart_handoff.rs	370	1	2
R32	review	src/services/discord/recovery_paths/restart.rs	116,792	2	6
R32	review	src/services/discord/turn_finalizer/finalize.rs	144	1	7
R32	review	src/services/discord/mod.rs	516	1	1
R32	review	src/services/discord/inflight.rs	342-352	1	1
R32	review	src/services/discord/router/intake_gate/stale_turn.rs	194,253	2	2
R32	review	src/services/discord/turn_bridge/completion_postlude.rs	920	1	8
R32	review	src/services/discord/inflight/removal.rs	263-375	3	3
R32	review	src/services/discord/tui_direct_pending_start.rs	370	1	6
