도달 사유	모듈	file::함수	행수	범주
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/abandon_request_store.rs::current_drain_ownership	1	B
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/abandon_request_store.rs::drain	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/adk_session.rs::emit_context_compacted_lifecycle_for_inflight	1	B
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/agent_handoff.rs::send_agent_handoff	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/compact_turn_authority.rs::capture	1	D
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/delivery_lease_key.rs::new_for_site	1	D
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/delivery_lease_key.rs::new_for_site_with_fallback_offset	4	D
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/destructive_cancel_gate.rs::evaluate	1	B
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/destructive_cancel_gate.rs::from_pinned_state	3	D
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/destructive_cancel_gate.rs::from_state	2	D
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/e2e_control.rs::delete_message	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/gateway.rs::delete_message	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/gateway.rs::dispatch_queued_turn	2	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/gateway.rs::edit_message	2	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/gateway.rs::post_message	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/gateway.rs::post_message_with_nonce	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/gateway.rs::post_message_with_reference	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/gateway.rs::post_message_with_reference_and_nonce	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/gateway.rs::replace_message_deferred	2	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/gateway.rs::replace_message_with_outcome	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/gateway.rs::send_long_message_with_rollback	3	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/gateway.rs::send_message	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/idle_detector.rs::run_pass	1	B
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/mailbox_finish.rs::mailbox_finish_cancelled_turn	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/mailbox_finish.rs::mailbox_finish_owned_turn	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/mailbox_finish.rs::mailbox_finish_turn	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/mailbox_finish.rs::mailbox_finish_turn_if_matches	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/mailbox_finish.rs::mailbox_finish_turn_if_matches_episode_started_before_inner	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/monitoring_status.rs::deliver_monitoring_status	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/monitoring_status.rs::edit_message	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/monitoring_status.rs::post_message	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/monitoring_status.rs::render_channel_monitoring_from_registry	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/monitoring_status.rs::render_channel_monitoring_from_store	3	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/readopted_mailbox_ledger.rs::from_state	1	D
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/readopted_mailbox_ledger.rs::mark_readopted_mailbox_owner_finished_for_episode	1	D
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/readopted_mailbox_ledger.rs::record_readopted_mailbox_owner_for_episode	1	D
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/relay_health.rs::observe	4	D
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/startup_reclaim.rs::reclaim_frozen_panels	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/startup_reclaim.rs::reclaim_orphan_placeholders	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/startup_reclaim.rs::run_delayed_reclaim_pass	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/startup_reclaim.rs::run_startup_reclaim_sweep	2	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/startup_reclaim.rs::spawn_startup_reclaim_sweep	2	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/terminal_coordinate.rs::external	1	D
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/terminal_coordinate.rs::message	1	D
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/terminal_ui_obligation.rs::reconcile_terminal_ui_obligation	2	AD
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/terminal_ui_obligation.rs::resolve_terminal_ui_session	3	BD
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/terminal_ui_obligation.rs::spawn_terminal_ui_obligation_sweeper	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/terminal_ui_obligation.rs::sweep_terminal_ui_obligations	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/terminal_ui_obligation.rs::terminal_ui_snapshot_from_inflight	1	D
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/tmux_kill_policy.rs::provider_native_output_offset_for_stop	1	B
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/turn_end_wip_warning.rs::load_matching_inflight_state	1	B
discord 기타 모듈; 채널 선택 인자 추적 필요	discord	src/services/discord/zombie_foreground_release.rs::inflight_episode_lookup_for_tmux_name	2	BD
discord 기타 모듈; 채널 선택 인자 추적 필요	gateway	src/services/discord/gateway/outbound_messages.rs::edit_intake_placeholder	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	gateway	src/services/discord/gateway/outbound_messages.rs::edit_outbound_message	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	gateway	src/services/discord/gateway/outbound_messages.rs::edit_outbound_message_classified	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	gateway	src/services/discord/gateway/outbound_messages.rs::send_intake_placeholder	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	gateway	src/services/discord/gateway/outbound_messages.rs::send_outbound_message	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	gateway	src/services/discord/gateway/outbound_messages.rs::send_outbound_message_with_nonce_classified	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	relay_health	src/services/discord/relay_health/frontier.rs::frontier_token	1	D
discord 기타 모듈; 채널 선택 인자 추적 필요	relay_health	src/services/discord/relay_health/frontier.rs::relay_frontier_token	1	D
discord 기타 모듈; 채널 선택 인자 추적 필요	relay_health	src/services/discord/relay_health/frontier.rs::reset_confirmed_frontier	1	D
discord 기타 모듈; 채널 선택 인자 추적 필요	tmux_placeholder_suppression	src/services/discord/tmux_placeholder_suppression/ops.rs::apply_placeholder_suppression	4	A
discord 기타 모듈; 채널 선택 인자 추적 필요	tmux_placeholder_suppression	src/services/discord/tmux_placeholder_suppression/ops.rs::delete_nonterminal_placeholder	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	tmux_placeholder_suppression	src/services/discord/tmux_placeholder_suppression/ops.rs::delete_nonterminal_placeholder_unless_delivered	2	AD
discord 기타 모듈; 채널 선택 인자 추적 필요	tmux_placeholder_suppression	src/services/discord/tmux_placeholder_suppression/ops.rs::delete_placeholder_unless_delivered	5	AD
discord 기타 모듈; 채널 선택 인자 추적 필요	tmux_placeholder_suppression	src/services/discord/tmux_placeholder_suppression/ops.rs::delete_placeholder_with_operation	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	tmux_placeholder_suppression	src/services/discord/tmux_placeholder_suppression/ops.rs::delete_terminal_placeholder	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	tmux_placeholder_suppression	src/services/discord/tmux_placeholder_suppression/ops.rs::delete_terminal_placeholder_unless_delivered	2	AD
discord 기타 모듈; 채널 선택 인자 추적 필요	tmux_placeholder_suppression	src/services/discord/tmux_placeholder_suppression/ops.rs::delete_watcher_rollover_frozen_prefixes	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	tmux_placeholder_suppression	src/services/discord/tmux_placeholder_suppression/ops.rs::edit_placeholder_with_operation	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	tmux_placeholder_suppression	src/services/discord/tmux_placeholder_suppression/ops.rs::edit_preserve_placeholder	1	A
discord 기타 모듈; 채널 선택 인자 추적 필요	tmux_placeholder_suppression	src/services/discord/tmux_placeholder_suppression/ops.rs::edit_terminal_placeholder	1	A
services 기타; 호출 채널 추적 필요	agent_recovery	src/services/agent_recovery/admission.rs::allows	1	D
services 기타; 호출 채널 추적 필요	agent_recovery	src/services/agent_recovery/checkpoint.rs::commit_recovery_transition	1	D
services 기타; 호출 채널 추적 필요	agent_recovery	src/services/agent_recovery/durable.rs::lease_for_provider	1	D
services 기타; 호출 채널 추적 필요	agent_recovery	src/services/agent_recovery/durable/operations.rs::pending_operation	1	D
services 기타; 호출 채널 추적 필요	agent_recovery	src/services/agent_recovery/durable/provider_errors.rs::apply_provider_error	1	D
services 기타; 호출 채널 추적 필요	auto_queue	src/services/auto_queue/activate_command.rs::activate_with_deps_pg	1	C
services 기타; 호출 채널 추적 필요	auto_queue	src/services/auto_queue/activate_route.rs::activate	2	CD
services 기타; 호출 채널 추적 필요	auto_queue	src/services/auto_queue/cancel_run.rs::cancel_and_release_runs_with_pg	1	C
services 기타; 호출 채널 추적 필요	auto_queue	src/services/auto_queue/cancel_run.rs::cancel_selected_runs_with_pg	1	C
services 기타; 호출 채널 추적 필요	auto_queue	src/services/auto_queue/cancel_run.rs::end_run_with_pg	1	C
services 기타; 호출 채널 추적 필요	auto_queue	src/services/auto_queue/cancel_run.rs::terminalize_selected_runs_with_pg	1	C
services 기타; 호출 채널 추적 필요	auto_queue	src/services/auto_queue/cleanup_tasks.rs::drain_run_cleanup_task_by_id_pg	1	C
services 기타; 호출 채널 추적 필요	auto_queue	src/services/auto_queue/cleanup_tasks.rs::drain_run_cleanup_task_pg	1	C
services 기타; 호출 채널 추적 필요	auto_queue	src/services/auto_queue/cleanup_tasks.rs::replay_pending_run_cleanup_tasks_pg	1	C
services 기타; 호출 채널 추적 필요	auto_queue	src/services/auto_queue/command.rs::force_pause_with_pg	1	C
services 기타; 호출 채널 추적 필요	auto_queue	src/services/auto_queue/fsm.rs::activate_with_bridge_pg	1	C
services 기타; 호출 채널 추적 필요	auto_queue	src/services/auto_queue/route_request_generate.rs::request_generate	1	A
services 기타; 호출 채널 추적 필요	auto_queue	src/services/auto_queue/runtime.rs::archive_slot_threads	1	A
services 기타; 호출 채널 추적 필요	auto_queue	src/services/auto_queue/runtime.rs::clear_slot_threads_for_slot_pg	1	C
services 기타; 호출 채널 추적 필요	auto_queue	src/services/auto_queue/runtime.rs::reset_slot_thread_bindings_excluding_pg	1	A
services 기타; 호출 채널 추적 필요	auto_queue	src/services/auto_queue/view_admin_routes.rs::restore_run_with_pg	1	D
services 기타; 호출 채널 추적 필요	cluster	src/services/cluster/node_registry.rs::bootstrap	1	D
services 기타; 호출 채널 추적 필요	cluster	src/services/cluster/node_registry.rs::spawn_heartbeat_loop	1	D
services 기타; 호출 채널 추적 필요	cluster	src/services/cluster/stream_relay.rs::push_drop_oldest	1	D
services 기타; 호출 채널 추적 필요	cluster	src/services/cluster/stream_relay.rs::try_send_frame_with_sequence	1	D
services 기타; 호출 채널 추적 필요	cluster	src/services/cluster/stream_relay.rs::try_send_request	1	D
services 기타; 호출 채널 추적 필요	cluster	src/services/cluster/stream_relay/frame_admission.rs::try_send_frame_inner	2	D
services 기타; 호출 채널 추적 필요	cluster	src/services/cluster/stream_relay/identity.rs::from_frame	1	D
services 기타; 호출 채널 추적 필요	codex	src/services/codex/followup_reader.rs::send_followup_to_tmux	3	D
services 기타; 호출 채널 추적 필요	codex	src/services/codex/process_session_launch.rs::execute_streaming_local_process_codex	4	CD
services 기타; 호출 채널 추적 필요	codex_tui	src/services/codex_tui/rollout_tail.rs::tail_idle_rollout_for_tmux	1	D
services 기타; 호출 채널 추적 필요	codex_tui	src/services/codex_tui/rollout_tail.rs::tail_latest_rollout_for_cwd_with_handoff_options	1	D
services 기타; 호출 채널 추적 필요	codex_tui	src/services/codex_tui/rollout_tail.rs::tail_resumed_rollout_for_session_with_handoff_options	1	D
services 기타; 호출 채널 추적 필요	codex_tui	src/services/codex_tui/rollout_tail.rs::tail_rollout_file_from_offset_with_pane_busy_probe	1	D
services 기타; 호출 채널 추적 필요	codex_tui	src/services/codex_tui/rollout_tail.rs::tail_rollout_file_until_assistant_response	1	D
services 기타; 호출 채널 추적 필요	codex_tui	src/services/codex_tui/rollout_tail.rs::tail_rollout_file_until_assistant_response_with_pane_busy_probe	1	D
services 기타; 호출 채널 추적 필요	codex_tui	src/services/codex_tui/rollout_tail.rs::tail_warm_followup_rollout_for_tmux	1	D
services 기타; 호출 채널 추적 필요	codex_tui	src/services/codex_tui/session.rs::advance_codex_tui_runtime_binding_and_marker_offset	1	D
services 기타; 호출 채널 추적 필요	codex_tui	src/services/codex_tui/warm_followup.rs::try_codex_tui_warm_followup	1	D
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/discord_delivery/guard.rs::send_dispatch_with_delivery_guard	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/discord_delivery/guard.rs::send_dispatch_within_deadline	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/discord_delivery/orchestration.rs::apply_dispatch_status_reaction_state	7	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/discord_delivery/orchestration.rs::send_dispatch	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/discord_delivery/orchestration.rs::send_dispatch_to_discord_inner_with_context_pg	4	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/discord_delivery/orchestration.rs::send_dispatch_to_discord_with_pg_result	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/discord_delivery/orchestration.rs::send_review_followup	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/discord_delivery/orchestration.rs::send_review_result_message_via_http	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/discord_delivery/orchestration.rs::send_review_result_to_primary_with_context_and_transport	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/discord_delivery/orchestration.rs::send_review_result_to_primary_with_transport	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/discord_delivery/orchestration.rs::sync_dispatch_status_reaction_with_pg	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/discord_delivery/orchestration.rs::update_dispatch_reaction_presence	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/discord_delivery/thread_reuse.rs::try_reuse_thread	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/discord_delivery/thread_reuse.rs::validate_channel_thread_maps_on_startup_with_backends	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/discord_delivery/transport.rs::<module>	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/discord_delivery/transport.rs::edit_raw_message_once	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/discord_delivery/transport.rs::post_dispatch_message_to_channel_with_delivery	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/discord_delivery/transport.rs::post_raw_message_once	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/outbox_queue.rs::dispatch_outbox_loop	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/outbox_queue.rs::notify_dispatch	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/outbox_queue.rs::process_outbox_batch_with_pg	2	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/outbox_queue.rs::sync_status_reaction	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/outbox_route.rs::handle_completed_dispatch_followups_internal	2	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/outbox_route.rs::handle_completed_dispatch_followups_with_pg	1	A
services 기타; 호출 채널 추적 필요	dispatches	src/services/dispatches/outbox_route.rs::post_dispatch_completion_summary	1	A
services 기타; 호출 채널 추적 필요	observability	src/services/observability/emit.rs::emit_turn_finished_with_dispatch_kind	1	D
services 기타; 호출 채널 추적 필요	observability	src/services/observability/metrics.rs::record_success	1	D
services 기타; 호출 채널 추적 필요	onboarding	src/services/onboarding/channel.rs::channels	1	A
services 기타; 호출 채널 추적 필요	onboarding	src/services/onboarding/channel.rs::channels_post	1	A
services 기타; 호출 채널 추적 필요	onboarding	src/services/onboarding/channel.rs::load_channels	2	A
services 기타; 호출 채널 추적 필요	onboarding	src/services/onboarding/channel.rs::validate_token	1	A
services 기타; 호출 채널 추적 필요	onboarding	src/services/onboarding/mod.rs::<module>	1	A
services 기타; 호출 채널 추적 필요	opencode	src/services/opencode/streaming_entry.rs::execute_command_streaming	1	D
services 기타; 호출 채널 추적 필요	provider	src/services/provider/output_reader.rs::poll_output_file_until_result	2	D
services 기타; 호출 채널 추적 필요	qwen	src/services/qwen/followup_reader.rs::send_followup_to_tmux	5	D
services 기타; 호출 채널 추적 필요	qwen	src/services/qwen/session_lifecycle.rs::execute_streaming_local_process	4	CD
services 기타; 호출 채널 추적 필요	qwen	src/services/qwen/session_lifecycle.rs::execute_streaming_local_tmux	10	CD
services 기타; 호출 채널 추적 필요	routines	src/services/routines/agent_executor.rs::create_routine_thread	1	A
services 기타; 호출 채널 추적 필요	routines	src/services/routines/agent_executor.rs::resolve_or_create_routine_thread	1	A
services 기타; 호출 채널 추적 필요	routines	src/services/routines/discord_log.rs::create_routine_thread	1	A
services 기타; 호출 채널 추적 필요	routines	src/services/routines/discord_log.rs::log_run_js_action	1	A
services 기타; 호출 채널 추적 필요	routines	src/services/routines/discord_log.rs::log_run_js_inputs	1	A
services 기타; 호출 채널 추적 필요	routines	src/services/routines/discord_log.rs::log_run_outcome	1	A
services 기타; 호출 채널 추적 필요	routines	src/services/routines/discord_log.rs::log_run_section	1	A
services 기타; 호출 채널 추적 필요	routines	src/services/routines/discord_log.rs::log_run_started	1	A
services 기타; 호출 채널 추적 필요	routines	src/services/routines/discord_log.rs::resolve_or_create_log_thread	1	A
services 기타; 호출 채널 추적 필요	routines	src/services/routines/discord_log.rs::send_or_edit_run_log	2	A
services 기타; 호출 채널 추적 필요	routines	src/services/routines/session_control.rs::control_persistent_session	1	C
services 기타; 호출 채널 추적 필요	services/auto_queue	src/services/auto_queue.rs::assemble_status_response	1	D
services 기타; 호출 채널 추적 필요	services/auto_queue	src/services/auto_queue.rs::build_entry_view_pg	1	D
services 기타; 호출 채널 추적 필요	services/auto_queue	src/services/auto_queue.rs::from	1	D
services 기타; 호출 채널 추적 필요	services/auto_queue	src/services/auto_queue.rs::run_view_with_pg	1	D
services 기타; 호출 채널 추적 필요	services/codex	src/services/codex.rs::codex_tui_idle_relay_binding	1	D
services 기타; 호출 채널 추적 필요	services/codex	src/services/codex.rs::emit_codex_tui_post_tail_handoff	1	D
services 기타; 호출 채널 추적 필요	services/codex	src/services/codex.rs::execute_command_streaming	5	CD
services 기타; 호출 채널 추적 필요	services/codex	src/services/codex.rs::execute_streaming_local_tmux	9	CD
services 기타; 호출 채널 추적 필요	services/codex	src/services/codex.rs::execute_streaming_local_tui_tmux	6	CD
services 기타; 호출 채널 추적 필요	services/codex	src/services/codex.rs::register_codex_tui_idle_relay_binding	1	D
services 기타; 호출 채널 추적 필요	services/github_issue_creation	src/services/github_issue_creation.rs::sync_issue_announcement	2	A
services 기타; 호출 채널 추적 필요	services/issue_announcements	src/services/issue_announcements.rs::complete_issue_announcement_pg	1	A
services 기타; 호출 채널 추적 필요	services/issue_announcements	src/services/issue_announcements.rs::create_issue_announcement_pg	1	A
services 기타; 호출 채널 추적 필요	services/issue_announcements	src/services/issue_announcements.rs::send_issue_announcement_message	2	A
services 기타; 호출 채널 추적 필요	services/provider	src/services/provider.rs::tmux_followup_fallback_after_read_error	1	D
services 기타; 호출 채널 추적 필요	services/provider_exec	src/services/provider_exec.rs::execute_simple_blocking_inner	1	D
services 기타; 호출 채널 추적 필요	services/provider_exec	src/services/provider_exec.rs::execute_structured_with_context	1	D
services 기타; 호출 채널 추적 필요	services/qwen	src/services/qwen.rs::execute_command_streaming	4	CD
services 기타; 호출 채널 추적 필요	services/qwen	src/services/qwen.rs::qwen_read_output_file_until_result_tracked	1	D
services 기타; 호출 채널 추적 필요	services/qwen	src/services/qwen.rs::register_qwen_tmux_runtime_binding	1	D
services 기타; 호출 채널 추적 필요	services/qwen_tmux_wrapper	src/services/qwen_tmux_wrapper.rs::rewind_output_to_checkpoint	1	C
services 기타; 호출 채널 추적 필요	services/qwen_tmux_wrapper	src/services/qwen_tmux_wrapper.rs::run_turn	1	C
services 기타; 호출 채널 추적 필요	services/session_backend	src/services/session_backend.rs::new	1	D
services 기타; 호출 채널 추적 필요	services/session_backend	src/services/session_backend.rs::read_output_file_until_result_with_harvest	1	D
services 기타; 호출 채널 추적 필요	services/session_resume	src/services/session_resume.rs::dispatch_resume_previous	1	B
services 기타; 호출 채널 추적 필요	services/session_resume	src/services/session_resume.rs::perform_resume_rebind	1	B
services 기타; 호출 채널 추적 필요	services/stale_turn_reconciler	src/services/stale_turn_reconciler.rs::channel_inflight_observation	1	D
services 기타; 호출 채널 추적 필요	services/termination_audit	src/services/termination_audit.rs::build_record	1	D
services 기타; 호출 채널 추적 필요	services/termination_audit	src/services/termination_audit.rs::record_termination	1	D
services 기타; 호출 채널 추적 필요	services/termination_audit	src/services/termination_audit.rs::record_termination_with_handles	1	D
services 기타; 호출 채널 추적 필요	tui_prompt_dedupe	src/services/tui_prompt_dedupe/runtime_binding.rs::adopt_claude_continuation_session	1	D
services 기타; 호출 채널 추적 필요	tui_prompt_dedupe	src/services/tui_prompt_dedupe/runtime_binding.rs::advance_tmux_runtime_binding_offset	1	D
services 기타; 호출 채널 추적 필요	tui_prompt_dedupe	src/services/tui_prompt_dedupe/runtime_binding.rs::advance_tmux_runtime_binding_offset_under_source_authority	1	D
services 기타; 호출 채널 추적 필요	writer_protocol	src/services/writer_protocol/authority.rs::from_catalog	1	D
services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	cli/dcserver	src/cli/dcserver.rs::handle_dcserver	4	AB
services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	cli/direct	src/cli/direct.rs::cmd_discord_read	1	A
services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	cli/direct	src/cli/direct.rs::cmd_discord_thread_create	1	A
services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	cli/direct	src/cli/direct.rs::cmd_send	1	A
services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	cli/direct	src/cli/direct.rs::cmd_send_to_agent	1	A
services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	cli/discord	src/cli/discord.rs::send	3	A
services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	cli/discord	src/cli/discord.rs::send_channel_message	1	A
services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	cli/discord	src/cli/discord.rs::send_file	1	A
services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	cli/discord	src/cli/discord.rs::send_user_message	1	A
services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	cli/discord_thread_create	src/cli/discord_thread_create.rs::create	1	A
services 밖(서버 라우트·CLI 등); 대상 채널 인자 추적 필요	cli/init	src/cli/init.rs::<module>	1	A
